DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,CD_CARGO,DS_CARGO,QT_APTOS,QT_COMPARECIMENTO,QT_ABSTENCOES,QT_VOTOS_NOMINAIS,QT_VOTOS_BRANCOS,QT_VOTOS_NULOS,QT_VOTOS_LEGENDA,QT_VOTOS_ANULADOS_APU_SEP,NR_LOCAL_VOTACAO,NM_LOCAL_VOTACAO,DS_LOCAL_VOTACAO_ENDERECO
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,138,11,Prefeito,393,291,102,251,16,24,0,0,2127,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,11,13,Vereador,438,260,178,218,9,10,23,0,1023,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,11,11,Prefeito,438,260,178,229,16,15,0,0,1023,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,14,11,Prefeito,289,195,94,168,12,15,0,0,1023,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,14,13,Vereador,289,195,94,162,12,12,9,0,1023,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,13,13,Vereador,291,176,115,148,8,8,12,0,1023,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,13,11,Prefeito,291,176,115,153,9,14,0,0,1023,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,9,11,Prefeito,290,200,90,183,6,11,0,0,1023,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,9,13,Vereador,290,200,90,176,6,6,12,0,1023,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,16,13,Vereador,292,194,98,178,5,4,7,0,1023,#NE,#NE
